Commodity,Category,pH,Moisture_Content,Storage_Temperature,Respiration_Rate,Oxygen_Sensitivity,Moisture_Sensitivity,Light_Sensitivity,Typical_Shelf_Life,Recommended_Packaging,Packaging_Reason,Farmer_Action,
Ginger dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Garlic dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Onion dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Bay leaf,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Oregano dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Thyme dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Rosemary dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Sage dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Basil dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Mint dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Parsley dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Curry leaves dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Tarragon dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Marjoram dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Lemongrass dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Galangal dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Kaffir lime leaf dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Asafoetida,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Sumac,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Vanilla bean,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Vanilla powder,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Dried red chili flakes,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Beef,Meat & poultry,5.4–5.8,60–72%,0–4°C,N/A,High,High,Medium,3–10 days,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Buffalo meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Veal,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Lamb,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Mutton,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Goat meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Pork,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Venison,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Rabbit meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Chicken,Meat & poultry,5.8–6.5,65–75%,0–4°C,N/A,High,High,Medium,2–7 days,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Turkey,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Duck,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Goose,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Quail,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Pigeon meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Bison meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Camel meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Horse meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Yak meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Elk meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Moose meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Reindeer meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Ostrich meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Emu meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Wild boar meat,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Beef steak,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Beef mince,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Beef liver,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Beef heart,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Beef kidney,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Beef tongue,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Beef tripe,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Pork loin,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Pork belly,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Pork mince,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Pork liver,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Pork heart,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Pork kidney,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Lamb chop,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Lamb mince,Meat & poultry,5.4–6.5,60–75%,0–4°C,N/A (animal tissue),High,High,Medium,2–14 days fresh*,Food-grade tray + high-barrier film / vacuum pack,"Limits oxygen, contamination, purge and dehydration while maintaining cold-chain conditions.","Chill rapidly after slaughter, maintain 0–4°C, prevent cross-contamination and use clean food-grade packs.",
Salmon,Fish & seafood,6.0–6.5,65–72%,-1–2°C,N/A,High,High,Medium,3–7 days,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Atlantic salmon,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Pacific salmon,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Trout,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Rainbow trout,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Tuna,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Yellowfin tuna,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Skipjack tuna,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Bluefin tuna,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Cod,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Haddock,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Hake,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Pollock,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Halibut,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Sardine,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Anchovy,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Mackerel,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Herring,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Sprat,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Sole,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Flounder,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Plaice,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Sea bass,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Sea bream,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
Snapper,Fish & seafood,6.0–7.0,65–85%,-1–2°C,N/A (animal tissue),High,High,Medium,1–10 days fresh*,Ice-compatible insulated box + food-grade liner / high-barrier pack,Rapid cooling and hygienic packaging slow microbial and oxidative quality loss.,"Ice/chill immediately, drain meltwater appropriately, avoid temperature abuse and keep the product hygienically protected.",
